Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,District,Area,Shopid,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins,MetroStation,popular
12,1,3,0,0,7,31.23223,121.47664,15,11,1859284,335,112,69,6,35,0,1,112,14,6267,2508,1,1
11,0,3,6.9,6.9,6.9,31.23615,121.48056,15,17,1859632,0,0,0,0,0,0,0,0,0,2,0,1,0
10,1,3,7.9,8,0,31.22355,121.44623,11,3,1859980,993,430,100,11,69,55,29,299,11,6196,3390,1,1
12,1,3,0,0,6.9,31.22076,121.45963,10,12,1860046,0,0,0,0,0,0,0,0,0,176,0,0,0
11,1,3,0,0,0,31.22833,121.45516,11,16,1860049,44,24,2,0,1,0,0,17,0,603,309,1,0
12,1,3,0,0,6.9,31.21878,121.41653,5,6,1860781,651,194,144,15,36,39,4,219,52,8019,3055,1,1
12,1,3,9,0,0,31.22488,121.47893,10,12,1860883,108,84,1,0,14,0,0,9,0,333,97,1,1
14,0,1,7,6.9,6.9,31.22097,121.46915,10,12,1861096,0,0,0,0,0,0,0,0,0,3,0,1,0
12,1,3,7,0,0,31.19519,121.44049,7,1,1861258,322,157,25,5,7,14,3,111,5,1874,472,1,1
12,1,3,0,9,0,31.227,121.517,6,4,1861282,144,42,21,5,1,1,0,74,7,1085,288,1,1
12,1,3,0,0,6,31.183,121.43713,7,17,1861399,277,115,34,3,13,5,0,107,8,3617,1344,1,1
12,1,3,7.9,0,0,31.20398,121.40714,5,15,1861411,217,89,16,4,12,4,5,87,2,345,167,0,1
11,1,3,0,0,0,31.22902,121.45726,11,16,1861573,106,36,9,1,17,15,0,28,1,1342,921,1,1
11,1,3,0,0,0,31.2283,121.45589,11,16,1862041,142,45,17,6,1,0,1,72,4,728,678,1,1
5,1,1,0,0,0,31.22825,121.51556,6,4,1862050,0,0,0,0,0,0,0,0,0,257,0,1,0
13,1,3,0,0,6,31.236,121.482,15,17,1862065,377,175,24,1,22,10,6,139,2,4253,901,1,1
10,1,3,0,0,0,31.23765,121.50022,6,14,1862086,688,248,133,24,48,29,8,198,34,7031,2987,1,1
10,0,3,0,0,0,31.22701,121.49129,15,17,1862119,0,0,0,0,0,0,0,0,0,40,0,1,0
9,0,3,0,0,0,31.239,121.489,15,17,1862146,0,0,0,0,0,0,0,0,0,18,0,1,0
14,1,3,0,0,0,31.23526,121.47839,15,17,1862266,154,57,3,1,15,1,1,76,1,975,215,1,0
10,0,3,0,0,0,31.25109,121.47187,3,17,1862311,0,0,0,0,0,0,0,0,0,5,0,1,0
9,0,3,0,0,0,31.23585,121.4793,15,17,1862554,0,0,0,0,0,0,0,0,0,23,0,0,0
12,1,2,0,0,0,31.23928,121.43727,4,17,1862566,337,120,49,12,22,5,3,126,14,1731,970,1,1
24,0,3,7,7,7,31.2314,121.49334,15,17,1862686,0,0,0,0,0,0,0,0,0,2,0,0,0
12,1,3,0,7,0,31.23468,121.47281,15,11,1862698,742,248,63,13,40,61,5,312,19,2654,1005,1,1
11,1,3,0,0,0,31.219,121.421,5,6,1862728,153,69,18,3,10,1,0,52,6,996,533,1,1
15,1,0,0,0,0,31.22965,121.51866,6,4,1862998,121,9,88,11,0,0,4,9,36,115,54,1,1
10,0,3,0,0,0,31.22973,121.48736,15,17,1863001,21,0,7,2,0,0,0,12,0,1,6,1,0
12,1,3,0,0,7.9,31.223,121.475,10,17,1863145,135,12,33,9,3,3,2,73,11,389,430,1,1
13,1,2,0,0,0,31.23118,121.46867,15,11,1863223,57,1,20,7,0,0,0,29,8,218,250,0,1
12,1,3,7,0,0,31.2226,121.47406,10,17,1863571,237,67,23,2,18,7,1,119,3,1618,493,1,1
11,1,3,0,0,7,31.24517,121.45664,3,17,1863574,419,89,43,8,19,13,3,244,12,809,467,1,1
12,1,3,0,0,0,31.19505,121.43875,7,1,1863577,335,119,23,0,37,14,1,141,2,1953,433,1,1
12,1,3,0,0,0,31.24658,121.44573,4,17,1863769,156,0,1,0,0,0,0,155,0,426,422,0,1
10,0,3,0,0,0,31.23851,121.48859,15,17,1863964,0,0,0,0,0,0,0,0,0,3,0,1,0
13,1,3,7,0,0,31.23543,121.47719,15,17,1864258,26,19,3,0,1,0,0,3,1,240,50,1,0
11,1,3,0,0,0,31.2267,121.45192,11,16,1864264,124,11,24,14,0,0,0,75,4,187,148,0,1
12,1,3,0,0,0,31.22536,121.478,10,12,1864276,119,18,26,8,3,2,0,62,8,919,668,1,1
10,1,3,0,0,0,31.22757,121.45374,11,16,1864450,218,57,17,4,6,7,3,124,6,2075,1180,0,1
12,1,1,0,0,0,31.20434,121.46757,10,17,1864582,85,2,11,7,5,0,1,59,3,88,60,1,0
14,0,1,0,0,0,31.20496,121.46888,10,17,1864594,43,1,2,3,1,0,1,35,1,4,5,1,0
10,0,1,6.9,6.9,0,31.22273,121.47235,15,17,1864597,0,0,0,0,0,0,0,0,0,3,0,1,0
12,1,3,0,0,0,31.1942,121.43741,7,1,1864801,700,275,78,8,18,37,19,265,21,4177,1800,1,1
12,1,3,0,0,0,31.22732,121.48957,15,17,1864822,22,3,0,1,0,3,0,15,0,25,13,1,0
11,1,3,0,0,8,31.19333,121.43803,7,1,1865041,219,63,4,6,19,1,2,124,0,1850,268,1,1
12,1,3,0,0,0,31.258,121.483,9,17,1865053,216,57,7,4,19,2,0,127,2,745,163,1,0
13,1,3,7,0,0,31.23505,121.47477,15,17,1865080,255,54,19,3,2,6,2,169,5,940,214,1,1
13,1,3,0,0,0,31.22839,121.51693,6,4,1865089,791,239,35,6,44,70,13,384,8,3622,1724,1,1
12,1,2,0,0,4.9,31.22872,121.47344,15,11,1865116,253,110,17,5,11,4,1,105,4,2196,263,1,1
12,1,3,7.9,0,0,31.22463,121.47926,10,12,1865230,205,96,29,4,19,7,1,49,2,757,435,1,1
11,1,3,0,0,0,31.29793,121.44809,3,17,1865236,45,11,11,0,0,1,1,21,4,686,552,0,1
12,1,3,0,0,0,31.21718,121.45942,10,12,1865872,342,191,25,3,44,31,4,44,7,5306,1784,1,1
11,1,3,0,0,0,31.20906,121.37022,5,17,1865884,340,94,50,11,17,10,6,152,18,932,1172,0,1
13,1,3,0,0,7,31.23439,121.47574,15,11,1865887,126,55,14,2,1,1,1,52,10,986,191,1,1
12,1,3,6.9,0,0,31.13112,121.40115,12,17,1865890,494,146,53,16,37,35,11,196,13,717,359,1,1
11,1,3,0,0,0,31.21676,121.42239,5,6,1865947,62,24,2,1,0,0,0,35,0,1664,498,0,1
23,1,3,0,0,0,31.25801,121.48318,9,17,1865950,160,78,9,1,7,3,1,61,2,1101,602,1,1
12,1,3,0,0,0,31.21676,121.45948,10,12,1865953,132,57,16,1,12,0,0,46,5,850,575,1,1
11,0,3,0,0,0,31.23056,121.46656,11,16,1871602,0,0,0,0,0,0,0,0,0,26,0,0,0
12,1,3,0,0,0,31.23507,121.47541,15,17,1883740,276,80,14,3,17,6,3,153,1,891,207,1,1
13,1,3,0,7,0,31.22963,121.51611,6,4,1889047,101,32,21,5,8,1,0,34,3,943,467,1,1
